schoolid,suburb,schoolname,region,address,longitude,latitude
540,BEAUFORT,Beaufort Secondary College,,"Park Rd, Beaufort VIC 3373",143.3813,-37.4378
541,BERWICK,Beaconhills College,,"30-34 Toomuc Valley Rd, Pakenham VIC 3810",145.4665,-38.0616
542,PORTLAND,Bayview College,,"119 Bentinck St, Portland VIC 3305",141.6062,-38.3452
543,BAYSWATER,Bayswater Secondary College,,"Orchard Rd, Bayswater VIC 3153",145.2607,-37.8392
544,NEWPORT,Bayside P-12 College,,"P-9, 1 Mcarthurs Road, Altona VIC 3025",144.8469,-37.8375
545,LANGWARRIN SOUTH,Bayside Christian College,,"120-128 Robinsons Rd, Langwarrin South VIC 3911",145.1627,-38.1774
546,HEIDELBERG WEST,Banksia Latrobe Secondary College,,"235 Kingsbury Dr, Macleod VIC 3085",145.0576,-37.7291
547,BALWYN NORTH,Balwyn High School,,"Buchanan Ave, Balwyn North VIC 3104",145.077,-37.7983
548,BALMORAL,Balmoral P-12 Comm College,,"Harrow-Balmoral Rd, Balmoral VIC 3407",141.7708,-37.2459
549,BALLARAT,Ballarat Secondary College,,"1 Fussell St, Ballarat East VIC 3350",143.8921,-37.5595
550,BALLARAT,Ballarat High School,,"Sturt Street, West Ballarat VIC 3350",143.8212,-37.5565
551,WENDOUREE,Ballarat Grammar School,,"201 Forest St, Wendouree VIC 3355",143.8322,-37.5357
552,BALLARAT,Ballarat Clarendon College,,"1425 Sturt St, Ballarat VIC 3350",143.8347,-37.5596
553,SEBASTOPOL,Ballarat Christian College,,"111A Yarrowee St, Sebastopol VIC 3356",143.8432,-37.5925
554,MOUNT MARTHA,Balcombe Grammar School,,"389 Nepean Hwy, Mount Martha VIC 3934",145.0326,-38.2759
555,BAIRNSDALE,Bairnsdale Secondary College,,"90 McKean St, Bairnsdale VIC 3875",145.0326,-38.2759
556,HAMILTON,Baimbridge College,,"85 Stephen St, Hamilton VIC 3300",142.0147,-37.7334
557,BACCHUS MARSH,Bacchus Marsh Grammar,,"S Maddingley Rd, Maddingley VIC 3340",144.4301,-37.6944
558,BACCHUS MARSH,Bacchus Marsh College,,"Grant St, Bacchus Marsh VIC 3340",144.4344,-37.6808
559,MOUNT WAVERLEY,Avila College,,"35 Charles St, Mount Waverley VIC 3149",145.1337,-37.8747
560,ABERFELDIE,Ave Maria College,,"14/22 Vida St, Aberfeldie VIC 3040",-37.757,-37.757
561,COBURG,Australian International Academy,,"56 Bakers Rd., North Coburg VIC 3058",144.9585,-37.7263
